,sentiment,text
12588,1,two rooms packed and cleaned three to go
1079,0,_nation just launched twittix v1 10 not convinced
1176,0,someone just censored up birthday censored for me he basically said the song is about a censored being selfish listen to the song carefully
15311,1, then i ll need plenty of quizzes to get through the work day 
18689,2,just cos i dont have an ipod touch yet doesn t mean i can t look at some apps exclamation they re sooo cool twittering in school question awesome exclamation 
162,0,bruno arghhhh i cant wait
3769,0,thunder lightning scarededededed me exclamation 
20614,2,good morning to everyone
2342,0,i have a headache also we are dealing with a lice outbreak my lovely hair has been affected 
13006,1,_mja i don t know who gon do the yelling cussing for upgrades when u go 
12081,1, me too bb
25233,2, i used to love you lol so awesome i knew you d have an experience last night
23533,2,seeing the gf 5 days in a row for a few hours each day is amazing just wish the location wasn t a hospital
16996,1,one of the estate agents next door just caught me singing along to wham
21621,2, happy mothersday
3452,0, censored i dont have 2 work saturday i was suppose 2 hang out with my friend watch it we can still hang out but no jonas 
1974,0, the kid that got a second chance shudnt have mowgli didnt gutted
6221,0,sites that republish my blog s feed often end up higher than my blog on google search results
4745,0,dying to get my hands on the diagnosis murder dvd boxset but those pesky kids at amazon still won t deliver to zimbabwe
21520,2, good morning did you break 5 digits yet question 
19547,2, buy yay for your shoot hope it goes well exclamation what is it for question 
10306,1,just got in a nasty argument with someone i normally like very much she doesn t forgive well either
20630,2, cool that you liked germany and the awards exclamation i saw you on tv cause i couldn t come to the comet and see you live xoxo
24499,2, folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight laughter all night 
23451,2, i m here if ur here for me exclamation 
19961,2,i want so bad to go to the mcfly s concert
25787,2, wow i love it exclamation exclamation exclamation thanks
13611,1, been there exclamation need somewhere new
20315,2, i m concerned for that family
4041,0,i hate when you cant sleep
3203,0, aw poor you ironing exclamation eek exclamation lol it s raining here too prob try and get out with the kids later nt too exciting im afraid exclamation 
13117,1,is not looking forward to the lsat
7923,0,i m going to sleepies feel poorlies and pissed off night night tweeples censored 
21932,2,aww you are too kind exclamation exclamation hi sweetie exclamation are you guys out partying without me i m the only person who came to work 2nite lol
9995,1,going to bed now thinks i twitter way too much 
12609,1, oh snap
21983,2, wow thanks a lot exclamation i can t believe i didn t think of that xd
8499,0,i need some serious cheering up
6015,0, i had terrible trouble with sp words as a child would drop the s pider pade etc needed lessons bad memories
7080,0, are you feeling better question sorry you re feeling under exclamation 
13144,1, you were right about karla not the best movie made
20210,2, happy mom s day exclamation here in spain it was last sunday exclamation exclamation any hint of when the first single will be out on radio question lym exclamation exclamation mini
1195,0,he is so silly 
11272,1, lunch yes a date nope 
11808,1,my mom said i eat a lot
18070,2, helooo how wos work pretty hope it was alright and a certain individual didnt ruin it 
10983,1, nope kicked that habit more then a year ago
10712,1,just spent more than 45 minutes looking at the aud
3251,0, haha it scared the censored out of me 
25636,2, because i stopped today s wish me luck had to overload first 
24761,2, that s great news
3418,0, oh no exclamation i woke up accidentally how can we get you to fall asleep question should i scare you with p2 or p3 stories question jk exclamation 
24737,2,little beetle not feeling any love searches are bring up zilch bar 2 peeps that appear funny exclamation exclamation exclamation 
13428,1, your cave question does it have an espresso machine question 
